horas_trabajo_totales,area,ciudad,etnia,condicion_actividad,empleo_adecuado,desempleado,personas_hogar,genero,edad,seguro,estado_civil,asiste_a_clases,nivel_educativo,como_busca_empleo,razon_dejo_trabajo,ocupacion_actual,tiempo_experiencia
, Urbana,Cuenca,,9.0,,,Persona 1, Hombre,70.0, Ninguno, Casado(a), No,4.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 2, Mujer,67.0, Ninguno, Casado(a), No,4.0, No realizó ninguna gestión,,,
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 3, Hombre,36.0, Ninguno, Soltero(a), No,6.0,,,2,10.0
10.0, Urbana,Cuenca,,4.0,,,Persona 1, Mujer,68.0, Ninguno, Viudo(a), No,4.0,,,6,30.0
40.0, Urbana,Cuenca,,4.0,,,Persona 1, Hombre,38.0, Ninguno, Divorciado(a), No,9.0,,,6,2.0
40.0, Urbana,Cuenca,,4.0,,,Persona 2, Hombre,30.0, Ninguno, Soltero(a), No,9.0,,,6,2.0
40.0, Urbana,Cuenca,,4.0,,,Persona 1, Mujer,48.0, Ninguno, Viudo(a), No,6.0,,,6,0.0
20.0, Urbana,Cuenca,,2.0,,,Persona 2, Mujer,25.0, Ninguno, Soltero(a), No,9.0,,,2,0.0
, Urbana,Cuenca,,0.0,,,Persona 3, Hombre,11.0, Ninguno,, Si,5.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,0.0,,,Persona 4, Hombre,7.0, Ninguno,, Si,5.0, No realizó ninguna gestión,,,
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 1, Hombre,54.0, Ninguno, Casado(a), No,4.0,,,6,5.0
16.0, Urbana,Cuenca,,4.0,,,Persona 2, Mujer,39.0, Ninguno, Casado(a), No,4.0,,,6,20.0
, Urbana,Cuenca,,9.0,,,Persona 3, Mujer,19.0, Ninguno, Soltero(a), Si,9.0, No realizó ninguna gestión,,,
40.0, Urbana,Cuenca,,4.0,,,Persona 1, Hombre,56.0, Ninguno, Casado(a), No,6.0,,,6,20.0
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 2, Mujer,55.0, Ninguno, Casado(a), No,4.0,,,10,2.0
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 3, Hombre,35.0, Ninguno, Soltero(a), No,9.0,,,2,3.0
, Urbana,Cuenca,,9.0,,,Persona 4, Hombre,23.0, Ninguno, Soltero(a), Si,9.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,0.0,,,Persona 5, Mujer,12.0, Ninguno, Soltero(a), Si,5.0, No realizó ninguna gestión,,,
