Value;Category
90150;Guayaquil
170150;Quito
130850;Manta
80150;Esmeraldas
110150;Loja
10150;Cuenca
180150;Ambato
70150;Machala
230150;Santo domingo de los colorados
60150;Riobamba
160150;Puyo
40150;Tulcan
150150;Tena
220150;Puerto francisco de orellana
50150;Latacunga
210150;Nueva loja
20150;Guaranda
100150;Ibarra
130150;Portoviejo
30150;Azogues
190150;Zamora
140150;Macas
30450;La troncal
120150;Babahoyo
120550;Quevedo
90750;Eloy alfaro (duran)
240150;Santa elena
200350;Puerto ayora
240250;La libertad
190550;Yanzatza
170155;Calderon (carapungo)
80450;Rosa zarate (quininde)
210450;Shushufindi
240152;Colonche
40550;San gabriel
100450;Otavalo
50250;La mana
140650;Sucua
170184;Tumbaco
150350;Archidona
140250;Gualaquiza
130450;El carmen
91050;Milagro
220350;La joya de los sachas
90450;Balzar
200150;Puerto baquerizo moreno
50550;San miguel
50450;Pujili
130250;Calceta
120153;Febres cordero (las juntas)
130350;Chone
91650;Samborondon
120850;Vinces
20550;San miguel
170156;Conocoto
90250;Alfredo baquerizo moreno
91850;Santa lucia
20650;Caluma
130950;Montecristi
10151;Baños
121150;Valencia
160252;Shell
240154;Manglaralto
170152;Amaguaña
90650;Daule
71250;Santa rosa
70950;Pasaje
80850;La concordia
70750;Huaquillas
130650;Jipijapa
130153;Crucita
190750;Zumbi
170250;Cayambe
150450;El chaco
110250;Cariamanga
180165;Santa rosa
30350;Cañar
240153;Chanduy
10170;Valle
70650;El guabo
90156;Posorja
90550;Colimes
70250;Arenillas
131250;Rocafuerte
200351;Bellavista
10350;Gualaceo
190250;Zumba
180156;Izamba
120154;Pimocha
90350;Balao
121050;San jacinto de buena fe
30250;Biblian
110350;Catamayo (la toma)
100157;San antonio
180155;Huachi grande
100350;Cotacachi
131550;Tosagua
130155;Riochico (rio chico)
120750;Ventanas
190650;El pangui
140450;Palora (metzera)
200151;El progreso
20350;San jose de chimbo
121250;Mocache
240350;Salinas
200250;Puerto villamil
20450;Echeandia
180153;Augusto n. Martinez
120851;Antonio sotomayor
90950;El triunfo
100250;Atuntaqui
30452;Pancho negro
120752;Zapotal
110156;Malacatos (valladolid)
60750;Guano
60156;Licto
40153;Julio andrade (orejuela)
120452;San juan
170176;Pintag
20250;Chillanes
10167;Sinincay
110950;Catacocha
30153;Guapan
11550;Camilo ponce enriquez
80550;San lorenzo
240352;Jose luis tamayo
180650;Quero
140157;Sevilla don bosco
92150;General villamil
40450;Mira (chontahuasi)
60650;Guamote
180152;Atahualpa (chisalata)
91250;Naranjito
140350;General leonidas plaza g.
80358;San jose de chamanga
120350;Montalvo
120950;Palenque
170450;Tabacundo
10165;Sayausi
130750;Junin
130151;Abdon calderon
120155;La union
180855;San andres
120250;Baba
100457;San pablo
60350;Villa la union
40650;Huaca
170160;El quinche
90851;Guayas (pueblo nuevo)
60250;Alausi
50156;Mulalo
180750;Pelileo
50650;Saquisili
240351;Anconcito
170550;Sangolqui
90152;Juan gomez rendon (progr
91950;El salitre (las ramas)
170252;Cangahua
80455;La union
80650;Atacames
210153;General farfan
80453;Malimpia
210156;Pacayacu
110850;Macara
30154;Javier loyola
180850;Pillaro
140153;General proaño
30550;El tambo
170180;San antonio
50554;Mulliquindil (santa ana)
170950;Puerto quito
80251;Anchayacu
131650;Sucre
131052;Cascol
180350;Cevallos
150352;Cotundo
140550;Santiago de mendez
91150;Naranjal
80154;Chinca
70653;Tendales
10163;San joaquin
131453;Charapoto
50162;Toacaso
50159;San juan de pastocalle
10169;Turi
180250;Baños
130157;Chirijos
100451;Dr. Miguel egas cabezas
91054;Roberto astudillo
90654;Limonal
130156;San placido
100356;Quiroga
10162;Ricaurte
120651;Ricaurte
100153;Carolina
90653;Laurel
150151;Ahuano
131350;Santa ana de vuelta larga
130356;Ricaurte
92550;Narcisa de jesus
70152;El retiro
60450;Chambo
10156;Llacao
132250;San vicente
100456;San juan de iluman
92053;Gral. Pedro j. Montero
91350;Palestina
71050;Piñas
10158;Nulti
10152;Cumbe
170350;Machachi
170255;Santa rosa de cuzubamba
170159;Checa (chilpa)
131750;Pedernales
92450;Lomas de sargentillo
92251;Crnel.Lorenzo de garaicoa
90158;Tenguel
170185;Yaruqui
170157;Cumbaya
131850;Olmedo
121051;Patricia pilar
100254;San roque
60152;Calpi
180161;Pilaguin (pilahuin)
131450;Bahia de caraquez
50161;Tanicuchi
50151;Alaques (alaquez)
210650;El dorado de cascales
190151;Cumbaratza
180163;San bartolome de pinllog
91951;General vernaza
60651;Cebadas
10650;Pucara
170353;Cutuglahua
120650;Catarama
120450;Puebloviejo
60754;San andres
50351;Moraspungo
40350;El angel
230153;Luz de america
170175;Pifo
130652;El anegado
100550;Pimampiro
100253;San jose de chaltura
91154;Taura
80250;Valdez (limones)
60850;Pallatanga
50458;Zumbahua
40250;Bolivar
170170;Nayon
131457;San isidro
131351;Ayacucho
61050;Cumanda
60550;Chunchi
60155;Lican
11150;Chordeleg
180160;Picaigua
170253;Olmedo (pesillo)
170181;San jose de minas
92250;Simon bolivar
92050;Yaguachi nuevo
80454;Viche
80253;Borbon
80159;Majua
60158;Punin
50153;Guaitacama (guaytacama)
170750;San miguel de los bancos
170163;Guayllabamba
70951;Buenavista
150153;Chontapunta
110160;Taquil (miguel riofrio)
60157;Pungala
180162;Quisapincha (quizapincha)
170179;Puembo
170154;Calacali
121350;Quinsaloma
111350;Zapotillo
91450;Pedro carbo
90850;Velasco ibarra
80451;Cube
10950;Sigsig
10157;Molleturo
80153;Crnel. Carlos concha torres
60161;San luis
10250;Giron
170165;Llano chico
170151;Alangasi
111150;Saraguro
40353;San isidro
120251;Guare
170850;Pedro vicente maldonado
160152;Canelos
131751;Cojimies
60352;Columbe
200352;Santa rosa
180168;Unamuncho
80654;Tonsupa
110154;Gualel
110153;El cisne
132251;Canoa
91651;Tarifa
131952;Salango
40451;Concepcion
220450;Loreto
131651;Bellavista
130252;Quiroga
70450;Balsas
50751;Chugchilan
50158;Poalo
30451;Manuel j. Calle
180758;Salasaca
170177;Pomasqui
130452;San pedro de suma
91151;Jesus maria
91051;Chobo
210158;Sta. Cecilia
180551;El triunfo
132050;Jama
131752;10 de agosto
