horas_trabajo_totales,horas_visual,area,ciudad,etnia,condicion_actividad,empleo,desempleo,empleo_adecuado,personas_hogar,genero,edad,seguro,estado_civil,asiste_a_clases,nivel_educativo,rama_instruccion,como_busca_empleo,razon_dejo_trabajo,ocupacion_actual,tiempo_experiencia,ingreso_laboral,ingreso_per_capita
,0.0,1,Cuenca,No hay dato,9.0,,,,,1,70.0,6.0,Casado(a),No,4.0,Humanidades y Artes,No realizó ninguna gestión,,,,,626.6666666666666
,0.0,1,Cuenca,No hay dato,9.0,,,,,2,67.0,6.0,Casado(a),No,4.0,Humanidades y Artes,No realizó ninguna gestión,,,,,626.6666666666666
40.0,40.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,1,36.0,6.0,Soltero(a),No,6.0,Agricultura y Veterinaria,,,Empleado privado,10.0,940.0,626.6666666666666
10.0,10.0,1,Cuenca,No hay dato,4.0,1.0,,,,2,68.0,6.0,Viudo(a),No,4.0,Educación,,,Cuenta Propia,30.0,80.0,230.0
40.0,40.0,1,Cuenca,No hay dato,4.0,1.0,,,,1,38.0,6.0,Divorciado(a),No,9.0,Humanidades y Artes,,,Cuenta Propia,2.0,150.0,255.0
40.0,40.0,1,Cuenca,No hay dato,4.0,1.0,,,,1,30.0,6.0,Soltero(a),No,9.0,"Ingeniería, Industria y Construcción",,,Cuenta Propia,2.0,360.0,255.0
40.0,40.0,1,Cuenca,No hay dato,4.0,1.0,,,,2,48.0,6.0,Viudo(a),No,6.0,Ciencias,,,Cuenta Propia,0.0,165.0,268.25
20.0,20.0,1,Cuenca,No hay dato,2.0,1.0,,,,2,25.0,6.0,Soltero(a),No,9.0,"Ingeniería, Industria y Construcción",,,Empleado privado,0.0,300.0,268.25
,0.0,1,Cuenca,No hay dato,0.0,,,,,1,11.0,6.0,,Si,5.0,"Ingeniería, Industria y Construcción",No realizó ninguna gestión,,,,,268.25
,0.0,1,Cuenca,No hay dato,0.0,,,,,1,7.0,6.0,,Si,5.0,Humanidades y Artes,No realizó ninguna gestión,,,,,268.25
40.0,40.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,1,54.0,6.0,Casado(a),No,4.0,Agricultura y Veterinaria,,,Cuenta Propia,5.0,1500.0,633.3333333333334
16.0,16.0,1,Cuenca,No hay dato,4.0,1.0,,,,2,39.0,6.0,Casado(a),No,4.0,Agricultura y Veterinaria,,,Cuenta Propia,20.0,400.0,633.3333333333334
,0.0,1,Cuenca,No hay dato,9.0,,,,,2,19.0,6.0,Soltero(a),Si,9.0,Educación,No realizó ninguna gestión,,,,,633.3333333333334
40.0,40.0,1,Cuenca,No hay dato,4.0,1.0,,,,1,56.0,6.0,Casado(a),No,6.0,Agricultura y Veterinaria,,,Cuenta Propia,20.0,300.0,382.8
40.0,40.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,2,55.0,6.0,Casado(a),No,4.0,Agricultura y Veterinaria,,,Empleado(a) Doméstico(a),2.0,470.0,382.8
40.0,40.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,1,35.0,6.0,Soltero(a),No,9.0,"Ingeniería, Industria y Construcción",,,Empleado privado,3.0,940.0,382.8
,0.0,1,Cuenca,No hay dato,9.0,,,,,1,23.0,6.0,Soltero(a),Si,9.0,Humanidades y Artes,No realizó ninguna gestión,,,,,382.8
,0.0,1,Cuenca,No hay dato,0.0,,,,,2,12.0,6.0,Soltero(a),Si,5.0,Salud y Bienestar,No realizó ninguna gestión,,,,,382.8
40.0,40.0,1,Cuenca,No hay dato,2.0,1.0,,,,2,58.0,6.0,Soltero(a),No,4.0,Educación,,,Cuenta Propia,4.0,130.0,57.5
40.0,40.0,1,Cuenca,No hay dato,2.0,1.0,,,,2,30.0,6.0,Soltero(a),No,7.0,"Cs. Sociales, Comercio y Derecho",,,Cuenta Propia,2.0,60.0,57.5
